Purchase_ID,Buyer_ID,Mood,Emotion_Intensity,Product_Category,Product_Name,Brand,Amount,Discount(%),Payment_Mode,Purchase_Date,Purchase_Time,Device_Used
75,75,Happy,9,Food,T-shirt,BrandB,1035,32,Cash,2025-03-16,0 days 19:34:17,Mobile
76,76,Angry,6,Books,T-shirt,BrandA,2693,40,Cash,2025-03-17,0 days 12:48:33,Laptop
77,77,Excited,9,Electronics,Novel,BrandA,3179,,Credit Card,2025-03-18,0 days 11:32:02,Tablet
78,78,Sad,5,Food,Lipstick,BrandD,2525,42,Cash,2025-03-19,0 days 18:05:43,Laptop
79,79,Sad,6,Books,Laptop,BrandD,4124,12,UPI,2025-03-20,0 days 09:05:59,Laptop
80,80,Angry,8,Clothing,Lipstick,BrandD,,32,UPI,2025-03-21,0 days 06:17:45,Tablet
81,81,Sad,3,Beauty,Lipstick,BrandA,4721,27,Cash,2025-03-22,0 days 19:56:25,Laptop
82,82,,2,Beauty,T-shirt,BrandB,3326,35,Debit Card,2025-03-23,0 days 18:25:29,Mobile
83,83,Calm,3,Clothing,Novel,BrandA,2576,4,Debit Card,2025-03-24,0 days 07:41:19,Laptop
84,84,Excited,9,Food,Lipstick,BrandD,653,24,Debit Card,2025-03-25,0 days 14:58:03,Mobile
85,85,Sad,6,Clothing,Lipstick,BrandB,,16,Cash,2025-03-26,0 days 22:05:29,Tablet
86,86,Calm,4,Books,Pizza,BrandC,3701,36,Debit Card,2025-03-27,0 days 19:12:11,Laptop
87,87,Excited,3,Electronics,Laptop,BrandC,3747,18,Cash,2025-03-28,0 days 13:24:55,Mobile
88,88,,2,Food,Novel,BrandD,1348,34,UPI,2025-03-29,0 days 13:53:26,Mobile
89,89,,4,Electronics,Laptop,BrandB,722,,Debit Card,2025-03-30,0 days 13:06:21,Tablet
90,90,Calm,9,Clothing,T-shirt,BrandD,4777,33,Debit Card,2025-03-31,0 days 14:05:21,Laptop
91,91,Calm,4,Beauty,Lipstick,BrandA,321,45,Debit Card,2025-04-01,0 days 00:37:36,Mobile
92,92,Calm,5,Electronics,Lipstick,BrandA,3818,5,UPI,2025-04-02,0 days 03:21:41,Mobile
93,93,Happy,8,Electronics,Laptop,BrandB,4876,18,Cash,2025-04-03,0 days 12:54:50,Tablet
94,94,,2,Beauty,T-shirt,BrandD,3922,0,UPI,2025-04-04,0 days 14:47:35,Laptop
95,95,Calm,3,Electronics,Pizza,BrandD,3283,6,UPI,2025-04-05,0 days 10:15:44,Laptop
96,96,Happy,6,Electronics,Pizza,BrandC,2372,33,Credit Card,2025-04-06,0 days 20:24:57,Mobile
97,97,Calm,7,Beauty,Lipstick,BrandB,2906,18,Debit Card,2025-04-07,0 days 04:16:56,Laptop
98,98,,4,Beauty,Lipstick,BrandD,3507,,Cash,2025-04-08,0 days 10:33:42,Laptop
99,99,Calm,1,Clothing,Novel,BrandA,3842,,Cash,,0 days 02:20:29,
100,100,Happy,7,Clothing,Laptop,BrandD,3017,40,Credit Card,2025-04-10,0 days 03:49:43,
101,101,Excited,9,Electronics,Lipstick,BrandD,4701,48,Credit Card,2025-04-11,0 days 16:50:32,Laptop
102,102,Happy,1,Food,T-shirt,BrandA,1684,41,UPI,2025-04-12,0 days 06:44:50,Laptop
103,103,Happy,1,Clothing,Laptop,BrandA,476,26,Credit Card,2025-04-13,0 days 17:21:29,Laptop
104,104,Calm,1,Clothing,Novel,BrandD,1448,37,Cash,2025-04-14,0 days 15:19:13,Mobile
105,105,Angry,7,Food,Pizza,BrandA,1324,25,Cash,2025-04-15,0 days 09:35:00,Mobile
106,106,Angry,9,Food,Novel,BrandC,3101,34,Cash,2025-04-16,0 days 12:13:41,Laptop
107,107,Angry,3,Beauty,Laptop,BrandC,1857,19,UPI,2025-04-17,0 days 18:32:02,Laptop
108,108,Happy,8,Clothing,Pizza,BrandC,1953,23,Debit Card,2025-04-18,0 days 15:45:33,Tablet
109,109,Calm,9,Books,T-shirt,BrandA,4802,46,Debit Card,2025-04-19,0 days 23:22:25,Mobile
110,110,Angry,3,Books,Pizza,BrandA,3858,20,UPI,2025-04-20,0 days 02:32:56,Tablet
111,111,Sad,3,Electronics,Pizza,BrandA,3602,25,Cash,2025-04-21,0 days 05:59:17,Mobile
112,112,Sad,1,Clothing,T-shirt,BrandB,4532,19,Cash,2025-04-22,0 days 15:17:14,Tablet
113,113,Sad,2,Books,Lipstick,BrandA,951,5,UPI,2025-04-23,0 days 22:53:59,Tablet
114,114,Excited,7,Clothing,Lipstick,BrandC,364,2,UPI,2025-04-24,0 days 02:58:58,Tablet
115,115,Calm,3,Clothing,Pizza,BrandC,1892,9,Credit Card,2025-04-25,0 days 01:24:01,Mobile
116,116,Happy,7,Books,Pizza,BrandC,2156,11,UPI,2025-04-26,0 days 14:03:26,Mobile
117,117,Happy,5,Clothing,Novel,BrandB,4060,32,Debit Card,2025-04-27,0 days 15:39:25,Laptop
118,118,Calm,8,Food,Lipstick,BrandD,,21,UPI,2025-04-28,0 days 11:15:27,Mobile
119,119,Excited,5,Electronics,T-shirt,BrandC,3489,15,Cash,2025-04-29,0 days 02:34:10,Mobile
120,120,Calm,3,Beauty,Pizza,BrandB,1968,16,Cash,2025-04-30,0 days 07:08:08,Mobile
121,121,Excited,9,Books,Pizza,BrandD,2623,9,Cash,2025-05-01,0 days 05:29:50,Mobile
122,122,Angry,7,Beauty,Novel,BrandB,4726,11,Debit Card,2025-05-02,0 days 00:15:46,Laptop
123,123,Angry,5,Electronics,Novel,BrandB,3896,18,Debit Card,2025-05-03,0 days 10:13:18,Laptop
124,124,,7,Food,Novel,BrandD,982,39,Credit Card,2025-05-04,0 days 20:31:03,Mobile
125,125,Calm,9,Food,Laptop,BrandA,3978,22,UPI,2025-05-05,0 days 00:18:56,Tablet
126,126,Angry,5,Food,T-shirt,BrandA,1154,39,Credit Card,2025-05-06,0 days 08:51:55,Tablet
127,127,Calm,7,Food,Laptop,BrandC,2192,9,UPI,2025-05-07,0 days 18:21:30,Mobile
128,128,Angry,9,Books,Pizza,BrandD,1859,9,UPI,2025-05-08,0 days 06:30:21,Laptop
129,129,Calm,1,Books,Novel,BrandC,340,49,Debit Card,2025-05-09,0 days 21:52:49,Tablet
130,130,Calm,4,Clothing,Novel,BrandB,919,9,Cash,2025-05-10,0 days 16:38:36,Laptop
131,131,Sad,1,Clothing,Novel,BrandA,1850,38,UPI,2025-05-11,0 days 08:34:53,Laptop
132,132,Excited,8,Electronics,Lipstick,BrandC,3773,29,Debit Card,2025-05-12,0 days 17:48:44,Tablet
133,133,Happy,3,Clothing,T-shirt,BrandC,3674,3,Credit Card,2025-05-13,0 days 10:02:51,Mobile
134,134,Excited,2,Electronics,Laptop,BrandA,1215,0,Cash,2025-05-14,0 days 05:10:38,Laptop
135,135,Calm,4,Electronics,T-shirt,BrandB,4583,42,Credit Card,2025-05-15,0 days 18:28:04,Tablet
136,136,Calm,3,Electronics,Novel,BrandC,542,18,Credit Card,2025-05-16,0 days 11:24:23,Laptop
137,137,Excited,5,Food,Pizza,BrandC,,4,Debit Card,2025-05-17,0 days 06:43:13,Tablet
138,138,Calm,8,Beauty,Lipstick,BrandD,2901,29,Cash,2025-05-18,0 days 20:12:23,Mobile
139,139,Angry,8,Beauty,T-shirt,BrandD,1175,25,UPI,2025-05-19,0 days 02:33:58,Mobile
140,140,Calm,7,Books,Pizza,BrandA,2783,39,Credit Card,2025-05-20,0 days 02:03:39,Mobile
141,141,,8,Electronics,Novel,BrandA,3320,33,UPI,2025-05-21,0 days 05:40:10,Laptop
142,142,Excited,5,Food,Novel,BrandB,2023,1,Cash,2025-05-22,0 days 01:39:16,Mobile
143,143,Excited,6,Clothing,Novel,BrandB,4626,23,Debit Card,2025-05-23,0 days 22:16:01,Mobile
144,144,Sad,8,Clothing,Novel,BrandC,4660,13,Debit Card,2025-05-24,0 days 06:35:53,Mobile
145,145,Sad,1,Books,Lipstick,BrandD,210,40,Debit Card,2025-05-25,0 days 20:14:18,Mobile
146,146,Sad,6,Books,Lipstick,BrandB,4804,41,UPI,2025-05-26,0 days 18:55:50,Tablet
147,147,Sad,6,Electronics,T-shirt,BrandC,2827,12,UPI,2025-05-27,0 days 07:05:39,Tablet
148,148,Sad,5,Electronics,Novel,BrandC,1668,28,Cash,2025-05-28,0 days 19:06:47,Laptop
149,149,Sad,4,Clothing,Lipstick,BrandA,1313,0,UPI,2025-05-29,0 days 02:30:29,Tablet
150,150,Sad,1,Clothing,Pizza,BrandD,,45,Debit Card,2025-05-30,0 days 15:42:16,Tablet
151,151,Excited,8,Clothing,Lipstick,BrandC,1100,,Credit Card,2025-05-31,0 days 19:46:54,Tablet
152,152,Happy,6,Clothing,Lipstick,BrandA,3947,3,Credit Card,2025-06-01,0 days 23:38:28,Tablet
153,153,Sad,3,Beauty,T-shirt,BrandC,4264,27,Credit Card,2025-06-02,0 days 13:19:49,Tablet
154,154,Excited,3,Electronics,Lipstick,BrandD,1671,18,Debit Card,2025-06-03,0 days 22:31:47,Mobile
155,155,Happy,6,Electronics,Pizza,BrandC,3303,0,UPI,2025-06-04,0 days 11:59:22,Laptop
156,156,Sad,7,Clothing,Novel,BrandC,526,35,Credit Card,2025-06-05,0 days 05:28:38,Tablet
157,157,Happy,8,Food,Laptop,BrandB,273,42,UPI,2025-06-06,0 days 22:36:42,Tablet
158,158,,5,Clothing,T-shirt,BrandB,450,12,UPI,2025-06-07,0 days 00:36:38,Laptop
159,159,,6,Books,Pizza,BrandA,,49,Debit Card,2025-06-08,0 days 02:36:47,Tablet
160,160,Calm,1,Food,T-shirt,BrandC,2602,41,UPI,2025-06-09,0 days 20:43:28,Tablet
161,161,Angry,6,Books,Novel,BrandA,4828,4,UPI,2025-06-10,0 days 22:57:54,Laptop
162,162,Happy,9,Food,Lipstick,BrandD,495,32,Debit Card,2025-06-11,0 days 01:26:57,Mobile
163,163,Excited,4,Books,Lipstick,BrandA,497,13,Cash,2025-06-12,0 days 21:05:47,Mobile
164,164,Sad,1,Clothing,Pizza,BrandC,501,15,Credit Card,2025-06-13,0 days 09:12:18,Laptop
165,165,,9,Clothing,Novel,BrandB,4807,31,Credit Card,2025-06-14,0 days 09:35:00,Mobile
166,166,Sad,4,Food,Laptop,BrandB,,49,UPI,2025-06-15,0 days 01:27:39,Mobile
167,167,Excited,2,Books,Laptop,BrandA,3824,26,Cash,2025-06-16,0 days 22:07:32,Mobile
168,168,Calm,1,Beauty,Lipstick,BrandB,1834,34,Debit Card,2025-06-17,0 days 13:52:33,Mobile
169,169,Angry,3,Food,Novel,BrandC,252,2,UPI,2025-06-18,0 days 06:19:43,Tablet
170,170,Happy,7,Food,Novel,BrandC,2476,3,Debit Card,2025-06-19,0 days 11:39:09,Laptop
171,171,Excited,2,Electronics,Pizza,BrandD,2887,6,Credit Card,2025-06-20,0 days 05:52:35,Mobile
172,172,Happy,9,Food,Laptop,BrandB,3044,12,Debit Card,2025-06-21,0 days 08:59:49,Mobile
173,173,Happy,2,Beauty,Pizza,BrandB,4790,40,Credit Card,2025-06-22,0 days 15:35:59,Laptop
174,174,Sad,5,Clothing,T-shirt,BrandD,2918,2,Debit Card,2025-06-23,0 days 09:13:03,Tablet
175,175,Excited,8,Books,Novel,BrandA,4135,16,Debit Card,2025-06-24,0 days 08:37:28,Mobile
176,176,Happy,8,Electronics,Laptop,BrandD,862,46,Cash,2025-06-25,0 days 08:55:21,Mobile
177,177,Angry,3,Books,Pizza,BrandB,207,9,Debit Card,2025-06-26,0 days 07:39:01,Tablet
178,178,Calm,2,Clothing,Lipstick,BrandA,3883,46,UPI,2025-06-27,0 days 10:01:45,Laptop
179,179,Excited,9,Food,T-shirt,BrandC,3287,0,Cash,2025-06-28,0 days 06:00:42,Mobile
180,180,Sad,3,Beauty,Pizza,BrandC,4961,27,UPI,2025-06-29,0 days 10:30:25,Mobile
181,181,Excited,8,Electronics,Lipstick,BrandD,868,9,Debit Card,2025-06-30,0 days 16:21:19,Laptop
182,182,Sad,2,Beauty,Laptop,BrandC,3364,6,Debit Card,2025-07-01,0 days 08:02:00,Tablet
183,183,Calm,3,Beauty,Laptop,BrandB,1485,38,Cash,2025-07-02,0 days 15:18:54,Laptop
184,184,Angry,1,Beauty,T-shirt,BrandD,3820,2,Credit Card,2025-07-03,0 days 11:19:21,Mobile
185,185,Happy,6,Beauty,Lipstick,BrandB,360,6,Cash,2025-07-04,0 days 14:25:44,Tablet
186,186,Excited,7,Clothing,Novel,BrandB,2598,8,Credit Card,2025-07-05,0 days 08:37:07,Tablet
187,187,Sad,4,Beauty,Laptop,BrandA,3445,39,Credit Card,2025-07-06,0 days 20:15:22,Tablet
188,188,Calm,1,Beauty,Novel,BrandA,217,34,Debit Card,2025-07-07,0 days 05:58:00,Laptop
189,189,Happy,3,Clothing,Novel,BrandA,2733,25,UPI,2025-07-08,0 days 10:27:04,Laptop
190,190,Calm,9,Books,Pizza,BrandC,4646,4,Cash,2025-07-09,0 days 19:13:11,Laptop
191,191,Angry,5,Clothing,Pizza,BrandA,2775,12,Cash,2025-07-10,0 days 13:37:08,Mobile
192,192,Happy,6,Food,Laptop,BrandB,,44,Debit Card,2025-07-11,0 days 14:50:45,Laptop
193,193,Happy,4,Clothing,Novel,BrandD,3118,29,Debit Card,2025-07-12,0 days 22:46:39,Tablet
194,194,Happy,1,Books,Pizza,BrandD,1253,39,Cash,2025-07-13,0 days 12:33:12,Mobile
195,195,Sad,5,Food,Lipstick,BrandB,515,49,Cash,2025-07-14,0 days 19:24:04,Mobile
196,196,Happy,5,Food,Lipstick,BrandC,2411,38,UPI,2025-07-15,0 days 05:04:06,Mobile
197,197,Calm,5,Electronics,Lipstick,BrandD,519,9,Debit Card,2025-07-16,0 days 09:16:26,Tablet
198,198,Sad,6,Beauty,Lipstick,BrandB,4727,41,UPI,2025-07-17,0 days 13:55:11,Laptop
199,199,Happy,2,Food,Novel,BrandB,2915,22,Debit Card,2025-07-18,0 days 21:23:26,Tablet
200,200,Calm,1,Food,Lipstick,BrandB,833,10,Debit Card,2025-07-19,0 days 13:24:20,Laptop
201,201,Calm,2,Books,Novel,BrandD,1905,11,UPI,2025-07-20,0 days 11:21:22,Mobile
202,202,Excited,6,Food,Laptop,BrandD,872,12,Credit Card,2025-07-21,0 days 16:32:37,Mobile
203,203,Calm,5,Books,Laptop,BrandA,2479,39,Credit Card,2025-07-22,0 days 16:55:18,Tablet
204,204,Angry,5,Beauty,Lipstick,BrandA,3747,48,Credit Card,2025-07-23,0 days 03:23:08,Laptop
205,205,Happy,6,Electronics,Lipstick,BrandB,670,45,Debit Card,2025-07-24,0 days 02:57:49,Mobile
206,206,Happy,7,Electronics,Lipstick,BrandB,3431,48,UPI,2025-07-25,0 days 03:10:43,Tablet
207,207,Happy,9,Beauty,Laptop,BrandB,2807,,Credit Card,2025-07-26,0 days 05:27:09,Tablet
208,208,Calm,7,Beauty,Pizza,BrandB,3532,8,Cash,2025-07-27,0 days 07:29:14,Laptop
209,209,Calm,2,Clothing,Laptop,BrandD,2820,9,Credit Card,2025-07-28,0 days 02:00:35,Laptop
210,210,Happy,6,Food,Lipstick,BrandA,4897,28,UPI,2025-07-29,0 days 20:57:30,Laptop
211,211,Sad,9,Food,Pizza,BrandC,1582,8,Debit Card,2025-07-30,0 days 13:58:33,Mobile
212,212,Sad,7,Food,Pizza,BrandB,4575,32,UPI,2025-07-31,0 days 11:54:09,Tablet
213,213,Angry,2,Books,T-shirt,BrandA,1385,23,Debit Card,2025-08-01,0 days 14:13:12,Laptop
214,214,Excited,3,Clothing,Novel,BrandB,,34,UPI,2025-08-02,0 days 03:13:13,Tablet
215,215,Angry,8,Food,Lipstick,BrandD,1115,10,UPI,2025-08-03,0 days 11:22:08,Mobile
216,216,Happy,9,Books,Novel,BrandC,1817,38,Cash,2025-08-04,0 days 07:44:45,Mobile
217,217,Happy,4,Books,T-shirt,BrandA,1883,49,Credit Card,2025-08-05,0 days 15:13:21,Laptop
218,218,Happy,9,Electronics,Novel,BrandA,2625,12,Credit Card,2025-08-06,0 days 02:34:51,Mobile
219,219,Excited,2,Books,Lipstick,BrandC,625,22,UPI,2025-08-07,0 days 12:29:38,Tablet
220,220,Calm,5,Beauty,T-shirt,BrandD,1987,,Credit Card,2025-08-08,0 days 15:41:10,Tablet
221,221,Excited,2,Books,Novel,BrandC,2784,49,Cash,2025-08-09,0 days 17:48:27,Mobile
222,222,Angry,1,Beauty,Laptop,BrandA,4848,15,UPI,2025-08-10,0 days 19:21:08,Mobile
223,223,Calm,5,Beauty,Pizza,BrandC,368,47,Credit Card,2025-08-11,0 days 00:14:04,Mobile
224,224,Calm,2,Electronics,T-shirt,BrandD,714,20,Credit Card,2025-08-12,0 days 15:15:29,Tablet
225,225,Angry,7,Electronics,Laptop,BrandD,3635,9,Debit Card,2025-08-13,0 days 08:51:09,Mobile
226,226,Calm,8,Books,Lipstick,BrandB,4725,40,Credit Card,2025-08-14,0 days 09:33:31,Laptop
227,227,Sad,2,Electronics,Pizza,BrandC,2816,39,Credit Card,2025-08-15,0 days 16:34:37,Laptop
228,228,Angry,7,Electronics,T-shirt,BrandC,,18,Debit Card,2025-08-16,0 days 09:27:11,Tablet
229,229,Angry,4,Food,Pizza,BrandA,890,,UPI,2025-08-17,0 days 09:55:02,Mobile
230,230,Sad,1,Books,T-shirt,BrandD,,27,UPI,2025-08-18,0 days 06:15:23,Mobile
231,231,Excited,3,Books,T-shirt,BrandC,2704,40,Cash,2025-08-19,0 days 01:19:36,Mobile
232,232,Excited,1,Books,Novel,BrandA,552,1,Debit Card,2025-08-20,0 days 16:56:41,Laptop
233,233,Excited,5,Electronics,Pizza,BrandB,1317,29,UPI,2025-08-21,0 days 05:12:04,Laptop
234,234,Calm,8,Electronics,Pizza,BrandC,1605,39,Credit Card,2025-08-22,0 days 15:47:38,Laptop
235,235,Sad,1,Beauty,Laptop,BrandC,4139,49,Credit Card,2025-08-23,0 days 03:55:00,Laptop
236,236,Angry,9,Clothing,Lipstick,BrandA,4374,39,Credit Card,2025-08-24,0 days 11:47:47,Laptop
237,237,,3,Clothing,Laptop,BrandA,877,4,Cash,2025-08-25,0 days 14:14:02,Tablet
238,238,Angry,5,Clothing,Novel,BrandD,750,37,UPI,2025-08-26,0 days 16:52:02,Tablet
239,239,Calm,9,Food,T-shirt,BrandD,1019,41,Debit Card,2025-08-27,0 days 22:04:28,Mobile
240,240,Calm,5,Electronics,Novel,BrandD,413,,UPI,2025-08-28,0 days 06:01:58,Mobile
241,241,Excited,9,Beauty,Novel,BrandC,1866,35,Debit Card,2025-08-29,0 days 12:46:54,Laptop
242,242,,8,Beauty,Laptop,BrandA,4964,2,Debit Card,2025-08-30,0 days 05:27:20,Mobile
243,243,Excited,7,Clothing,T-shirt,BrandD,1093,23,UPI,2025-08-31,0 days 16:45:12,Tablet
244,244,Excited,1,Food,Lipstick,BrandC,4454,40,Credit Card,2025-09-01,0 days 05:26:00,Tablet
245,245,Angry,4,Food,Novel,BrandD,4276,47,Credit Card,2025-09-02,0 days 01:46:20,Mobile
246,246,Calm,9,Clothing,Lipstick,BrandB,4105,47,Debit Card,2025-09-03,0 days 13:15:56,Laptop
247,247,Excited,8,Clothing,T-shirt,BrandC,2986,46,Credit Card,2025-09-04,0 days 08:12:59,Tablet
248,248,Sad,4,Electronics,T-shirt,BrandD,2448,40,Cash,2025-09-05,0 days 23:41:05,Mobile
